,Idade,Sexo,Escolaridade,Tipo_Moradia,Saldo_Investimento,Saldo_Conta_Corrente,Valor_Emprestimo,Duracao_Emprestimo,Inadimplencia,Probabilidades_previstas
788,50,M,Graduacao,De favor,Pouco,Moderado,6224,48,1,0.5887
273,28,M,Graduacao,Propria,Pouco,Moderado,3060,48,1,0.5875
602,34,H,Pos Graduacao,De favor,Pouco,Moderado,1837,24,1,0.58667
876,36,M,Ensino Medio,De favor,Pouco,Pouco,1940,18,0,0.5852
840,29,M,Graduacao,Propria,Pouco,Pouco,5179,36,1,0.58425
73,41,H,Pos Graduacao,Propria,Pouco,Moderado,5954,42,0,0.58286
378,57,M,Ensino Medio,De favor,Pouco,Moderado,14318,36,1,0.58169
153,29,H,Graduacao,Alugada,Alto,Moderado,7758,24,0,0.58133
914,31,M,Graduacao,Alugada,Pouco,Pouco,3161,24,1,0.5813
226,27,M,Graduacao,Propria,Alto,Moderado,10961,48,1,0.58097
744,30,M,Ensino Medio,Propria,Sem investimento,Pouco,14179,39,0,0.57887
583,33,M,Pos Graduacao,Alugada,Pouco,Moderado,2384,36,1,0.57771
120,25,H,Graduacao,Propria,Pouco,Pouco,1835,21,1,0.5775
655,22,M,Graduacao,De favor,Pouco,Pouco,3973,14,0,0.57537
687,30,M,Graduacao,De favor,Moderado,Moderado,2862,36,0,0.57354
815,54,H,Graduacao,Alugada,Pouco,Moderado,7432,36,0,0.57329
252,24,H,Graduacao,Propria,Pouco,Moderado,2150,30,1,0.57266
181,30,M,Ensino Medio,Propria,Pouco,Moderado,4455,36,1,0.5725
878,27,M,Ensino Medio,De favor,Pouco,Pouco,1422,9,1,0.57089
462,34,H,Ensino Medio,Alugada,Pouco,Moderado,3017,12,0,0.57079
521,24,H,Graduacao,Propria,Pouco,Pouco,3190,18,1,0.56928
952,28,H,Graduacao,Alugada,Alto,Moderado,4113,24,1,0.56645
751,23,H,Pos Graduacao,Propria,Pouco,Pouco,976,18,1,0.56638
777,25,H,Graduacao,Propria,Pouco,Pouco,3509,18,0,0.56499
417,23,H,Graduacao,Alugada,Sem investimento,Pouco,8471,18,0,0.56428
429,55,H,Ensino Medio,De favor,Pouco,Pouco,1190,18,1,0.56337
29,63,M,Graduacao,Propria,Pouco,Pouco,6836,60,1,0.56292
658,28,H,Graduacao,Propria,Pouco,Moderado,4221,30,0,0.56007
315,31,M,Graduacao,Propria,Pouco,Pouco,2746,36,1,0.55796
770,26,H,Graduacao,Alugada,Sem investimento,Pouco,2812,24,0,0.55757
208,21,M,Pos Graduacao,Propria,Pouco,Pouco,6568,24,0,0.55633
775,25,H,Graduacao,Alugada,Sem investimento,Pouco,1371,24,1,0.55536
274,34,M,Pos Graduacao,Propria,Pouco,Pouco,11998,30,1,0.55232
410,20,H,Graduacao,Propria,Pouco,Moderado,1967,24,0,0.55166
999,27,M,Graduacao,Propria,Moderado,Moderado,4576,45,0,0.55046
780,25,M,Graduacao,Propria,Pouco,Moderado,4933,39,1,0.55013
573,22,H,Pos Graduacao,Propria,Pouco,Pouco,806,15,0,0.54924
607,50,H,Graduacao,De favor,Moderado,Moderado,2671,36,1,0.54863
145,30,M,Graduacao,Propria,Moderado,Moderado,3566,48,0,0.54841
235,30,M,Ensino Medio,Propria,Pouco,Pouco,1823,24,1,0.54779
707,25,H,Graduacao,Alugada,Pouco,Moderado,2969,12,1,0.54769
866,27,H,Graduacao,Propria,Pouco,Pouco,2389,18,0,0.54612
9,28,M,Ensino Medio,Propria,Pouco,Moderado,5234,30,1,0.54472
172,34,H,Ensino Medio,Propria,Pouco,Moderado,2064,24,1,0.54418
996,40,M,Ensino Medio,Propria,Pouco,Pouco,3857,30,0,0.54254
862,35,H,Graduacao,Propria,Pouco,Pouco,2439,24,1,0.54168
154,36,M,Ensino Medio,Alugada,Moderado,Moderado,6967,24,0,0.54122
203,21,M,Graduacao,Alugada,Pouco,Pouco,902,12,1,0.54064
911,25,H,Pos Graduacao,Propria,Pouco,Moderado,4736,24,1,0.54062
320,28,M,Ensino Medio,Propria,Pouco,Moderado,4249,30,1,0.53895
946,30,M,Graduacao,De favor,Alto,Pouco,3349,24,1,0.53812
10,25,H,Graduacao,Alugada,Pouco,Moderado,1295,12,1,0.5379
364,25,M,Ensino Medio,Propria,Pouco,Pouco,2473,18,1,0.5377
319,27,H,Pos Graduacao,Propria,Pouco,Pouco,3643,15,0,0.53477
850,33,M,Graduacao,Alugada,Pouco,Pouco,2235,20,1,0.53383
853,32,M,Pos Graduacao,De favor,Pouco,Pouco,1442,18,1,0.53247
431,29,M,Ensino Medio,Propria,Pouco,Moderado,11328,24,1,0.52917
955,57,H,Ensino Medio,Alugada,Alto,Pouco,1231,24,0,0.52887
353,28,M,Graduacao,Alugada,Pouco,Pouco,6199,12,1,0.52811
15,32,H,Pos Graduacao,Propria,Moderado,Pouco,1282,24,1,0.52721
396,55,H,Ensino Medio,De favor,Pouco,Pouco,2578,12,0,0.52659
470,22,M,Graduacao,Alugada,Moderado,Moderado,3092,24,1,0.52659
460,37,M,Graduacao,Propria,Pouco,Pouco,3620,36,0,0.52582
87,47,M,Graduacao,De favor,Moderado,Moderado,12612,36,1,0.52515
752,23,H,Pos Graduacao,Alugada,Moderado,Moderado,841,12,0,0.52131
272,36,M,Ensino Medio,De favor,Sem investimento,Alto,12169,48,0,0.5212
634,25,H,Pos Graduacao,Propria,Pouco,Moderado,1355,24,1,0.52079
934,23,H,Graduacao,Propria,Pouco,Pouco,1498,12,0,0.52074
858,29,H,Graduacao,Propria,Pouco,Pouco,3959,15,1,0.52034
531,28,H,Graduacao,Alugada,Moderado,Moderado,2631,15,1,0.51938
766,31,M,Pos Graduacao,Propria,Pouco,Pouco,3108,30,1,0.51891
711,35,H,Graduacao,De favor,Pouco,Pouco,1198,6,1,0.51885
391,19,H,Pos Graduacao,Alugada,Alto,Moderado,983,12,0,0.51798
646,32,M,Graduacao,Propria,Pouco,Pouco,4583,30,0,0.51751
722,24,H,Pos Graduacao,Propria,Pouco,Pouco,1228,12,1,0.51673
425,21,M,Graduacao,Alugada,Pouco,Moderado,2779,18,0,0.51607
301,42,H,Graduacao,Propria,Pouco,Moderado,3804,36,1,0.5156
51,30,M,Ensino Medio,Propria,Pouco,Moderado,5965,27,0,0.51399
944,46,H,Graduacao,Alugada,Pouco,Pouco,1845,15,0,0.51348
548,24,H,Pos Graduacao,Propria,Pouco,Pouco,626,12,1,0.51319
755,32,H,Graduacao,Alugada,Sem investimento,Pouco,1285,24,1,0.5113
930,24,M,Pos Graduacao,Propria,Pouco,Pouco,1747,24,0,0.50941
482,57,H,Graduacao,Alugada,Alto,Pouco,3622,30,0,0.50882
813,54,M,Graduacao,Propria,Pouco,Pouco,3051,48,1,0.50671
257,29,M,Graduacao,De favor,Pouco,Pouco,2149,12,1,0.50634
545,43,M,Graduacao,De favor,Pouco,Pouco,1333,24,1,0.50451
704,32,H,Graduacao,Propria,Pouco,Moderado,2528,27,0,0.50273
578,27,M,Graduacao,Propria,Pouco,Moderado,2820,36,1,0.50271
612,29,H,Graduacao,Propria,Alto,Pouco,3357,21,0,0.50257
166,33,H,Graduacao,Propria,Pouco,Pouco,1131,18,1,0.50131
31,27,M,Graduacao,Propria,Pouco,Pouco,4020,24,0,0.5002
369,40,H,Graduacao,Alugada,Pouco,Moderado,3001,18,0,0.49948
558,27,M,Graduacao,Propria,Pouco,Pouco,3552,24,1,0.49745
112,28,M,Pos Graduacao,Alugada,Pouco,Moderado,6260,18,0,0.49663
822,41,M,Graduacao,Propria,Pouco,Pouco,2712,36,1,0.49548
432,36,M,Ensino Medio,De favor,Pouco,Pouco,1872,6,0,0.49509
129,29,H,Graduacao,Propria,Pouco,Pouco,3499,12,1,0.49501
338,28,M,Graduacao,Propria,Pouco,Pouco,4169,24,0,0.49483
79,22,M,Graduacao,Propria,Pouco,Moderado,3832,30,0,0.49467
368,42,M,Graduacao,Propria,Pouco,Pouco,3446,36,1,0.49355
337,24,H,Graduacao,Alugada,Sem investimento,Pouco,1275,15,1,0.49337
197,27,H,Graduacao,Alugada,Moderado,Moderado,951,12,1,0.49312
890,43,M,Ensino Medio,Propria,Pouco,Pouco,2442,27,0,0.49291
684,31,M,Pos Graduacao,Propria,Moderado,Moderado,9857,36,0,0.49264
610,22,H,Graduacao,Propria,Moderado,Pouco,741,12,1,0.49222
644,32,M,Ensino Medio,Propria,Pouco,Pouco,1880,18,0,0.49049
653,42,M,Ensino Medio,Propria,Moderado,Moderado,8086,36,1,0.48902
170,33,M,Graduacao,Alugada,Pouco,Pouco,950,15,1,0.48859
954,29,H,Graduacao,Propria,Pouco,Pouco,1893,12,0,0.48555
959,30,M,Graduacao,De favor,Moderado,Moderado,3069,24,0,0.48475
62,61,M,Ensino Medio,De favor,Pouco,Moderado,1953,36,1,0.4846
935,30,M,Ensino Medio,Propria,Moderado,Moderado,1919,30,1,0.48249
174,26,M,Graduacao,Propria,Pouco,Pouco,3414,21,1,0.48026
454,31,M,Graduacao,Propria,Pouco,Pouco,4817,24,1,0.47989
441,30,H,Graduacao,Propria,Pouco,Pouco,1620,12,0,0.4777
143,22,M,Graduacao,Propria,Pouco,Pouco,2462,18,1,0.47704
221,23,H,Graduacao,Alugada,Sem investimento,Pouco,1200,12,0,0.47656
893,34,M,Graduacao,Propria,Pouco,Moderado,5800,36,0,0.47649
457,35,M,Graduacao,De favor,Pouco,Pouco,3386,12,1,0.47611
130,24,H,Graduacao,Propria,Sem investimento,Alto,8487,48,0,0.47588
88,30,M,Ensino Medio,Propria,Moderado,Pouco,2249,18,0,0.47487
438,65,M,Ensino Medio,Propria,Pouco,Pouco,3394,42,0,0.47412
105,39,M,Ensino Medio,Propria,Pouco,Moderado,11938,24,1,0.47028
227,53,M,Ensino Medio,De favor,Pouco,Pouco,7865,12,1,0.46937
471,23,H,Graduacao,Propria,Pouco,Pouco,448,6,1,0.46933
530,32,M,Graduacao,Propria,Pouco,Moderado,2273,36,0,0.46825
524,26,H,Pos Graduacao,Propria,Pouco,Moderado,1113,18,0,0.46789
333,24,H,Pos Graduacao,Alugada,Moderado,Sem conta,11590,48,1,0.46534
605,22,M,Graduacao,Propria,Alto,Pouco,2828,24,0,0.46501
513,20,M,Graduacao,Alugada,Pouco,Moderado,585,12,0,0.4642
743,22,M,Graduacao,Propria,Alto,Pouco,2483,24,0,0.46299
4,53,M,Graduacao,De favor,Pouco,Pouco,4870,24,1,0.46287
397,46,M,Graduacao,Propria,Pouco,Pouco,2348,36,0,0.46214
239,39,M,Graduacao,Propria,Pouco,Pouco,2522,30,0,0.46167
872,26,M,Graduacao,Propria,Moderado,Pouco,1382,24,0,0.46068
86,27,H,Graduacao,Propria,Pouco,Moderado,1295,18,0,0.45893
456,36,M,Graduacao,Alugada,Pouco,Pouco,3905,11,0,0.45715
828,47,M,Graduacao,De favor,Sem investimento,Pouco,8335,36,1,0.45703
321,32,M,Graduacao,Propria,Pouco,Pouco,1938,24,1,0.45678
310,40,M,Ensino Medio,De favor,Sem investimento,Alto,5381,48,0,0.45632
480,23,H,Pos Graduacao,Propria,Pouco,Moderado,3573,12,0,0.45594
336,23,H,Pos Graduacao,Propria,Pouco,Moderado,2101,13,0,0.45483
111,23,H,Graduacao,Alugada,Pouco,Alto,392,15,0,0.45185
58,23,H,Ensino Medio,Propria,Pouco,Alto,1961,18,0,0.45126
540,23,M,Graduacao,Alugada,Pouco,Moderado,1534,12,1,0.45112
134,21,H,Graduacao,Propria,Moderado,Sem conta,10144,60,0,0.45051
108,30,H,Graduacao,Propria,Sem investimento,Pouco,7721,24,0,0.44998
12,22,H,Graduacao,Propria,Pouco,Moderado,1567,12,0,0.44664
801,48,H,Pos Graduacao,Alugada,Pouco,Moderado,1795,18,0,0.44638
335,44,M,Ensino Medio,Alugada,Pouco,Pouco,3384,6,1,0.44587
819,26,M,Graduacao,Propria,Pouco,Pouco,1345,18,1,0.44565
825,30,M,Graduacao,Propria,Pouco,Pouco,1602,21,0,0.44479
937,30,M,Ensino Medio,Alugada,Pouco,Moderado,2063,6,0,0.44469
255,27,M,Pos Graduacao,Propria,Sem investimento,Alto,7418,60,0,0.44448
458,27,H,Graduacao,Propria,Pouco,Pouco,343,6,0,0.44389
98,36,M,Graduacao,Propria,Pouco,Moderado,2337,36,0,0.44381
900,43,M,Graduacao,Alugada,Pouco,Pouco,2625,16,1,0.4437
117,27,H,Graduacao,Alugada,Sem investimento,Pouco,2132,10,0,0.44219
494,39,M,Pos Graduacao,Alugada,Pouco,Pouco,2122,12,0,0.43946
405,22,M,Graduacao,Propria,Pouco,Moderado,2039,24,1,0.43914
525,30,M,Graduacao,Propria,Pouco,Moderado,7966,26,0,0.4391
747,37,H,Pos Graduacao,Propria,Pouco,Pouco,1274,12,1,0.43605
586,36,M,Graduacao,Alugada,Pouco,Pouco,2799,9,0,0.4358
587,21,M,Pos Graduacao,Propria,Pouco,Pouco,1289,12,0,0.4353
721,24,H,Graduacao,Alugada,Alto,Moderado,433,6,1,0.43475
342,25,M,Graduacao,Alugada,Alto,Moderado,3213,18,0,0.43449
189,33,H,Graduacao,Propria,Pouco,Moderado,3244,18,0,0.43319
768,28,M,Graduacao,Alugada,Pouco,Moderado,3617,12,0,0.43238
54,57,M,Graduacao,De favor,Pouco,Moderado,2225,36,1,0.43219
355,23,M,Pos Graduacao,Propria,Pouco,Moderado,1246,24,1,0.43216
309,22,M,Pos Graduacao,Alugada,Pouco,Moderado,276,9,0,0.43144
691,25,H,Pos Graduacao,Propria,Moderado,Moderado,2631,15,0,0.43054
979,25,M,Graduacao,Alugada,Moderado,Moderado,1264,15,1,0.42965
992,23,M,Pos Graduacao,Alugada,Sem investimento,Pouco,1936,18,0,0.42953
740,32,M,Graduacao,Propria,Moderado,Pouco,2325,24,0,0.42911
393,31,H,Graduacao,Propria,Pouco,Pouco,1957,6,0,0.42863
556,28,H,Graduacao,Propria,Moderado,Moderado,2278,18,1,0.42854
195,34,H,Ensino Medio,Propria,Pouco,Moderado,1501,9,1,0.42829
17,25,M,Graduacao,Propria,Sem investimento,Pouco,8072,30,0,0.428
690,25,M,Graduacao,Propria,Pouco,Pouco,975,15,0,0.42739
668,43,M,Graduacao,Alugada,Pouco,Pouco,4843,12,1,0.42687
216,31,M,Graduacao,Propria,Pouco,Pouco,3104,18,0,0.42509
649,40,M,Pos Graduacao,Alugada,Pouco,Pouco,684,12,1,0.42501
931,22,H,Graduacao,Propria,Pouco,Moderado,1670,9,1,0.42498
152,24,M,Graduacao,Propria,Pouco,Alto,5848,36,0,0.4238
576,27,H,Graduacao,Propria,Pouco,Moderado,2930,12,0,0.42379
918,33,M,Graduacao,Propria,Moderado,Pouco,2359,24,1,0.42318
74,40,M,Ensino Medio,Propria,Sem investimento,Pouco,1977,36,1,0.42311
762,24,M,Pos Graduacao,Propria,Pouco,Pouco,2214,12,0,0.42225
958,45,M,Pos Graduacao,Propria,Pouco,Pouco,4006,28,1,0.42219
268,45,M,Ensino Medio,Propria,Pouco,Pouco,8978,14,1,0.42146
343,33,M,Ensino Medio,Propria,Pouco,Moderado,4439,18,0,0.41905
217,23,M,Graduacao,Propria,Pouco,Alto,3913,36,0,0.41878
982,28,H,Ensino Medio,Propria,Moderado,Alto,2923,21,0,0.41855
240,29,H,Graduacao,Propria,Sem investimento,Pouco,915,24,1,0.41676
330,75,M,Ensino Medio,De favor,Pouco,Pouco,6615,24,0,0.41572
407,27,M,Graduacao,Propria,Pouco,Pouco,1053,15,0,0.41563
986,33,M,Graduacao,Propria,Pouco,Alto,6289,42,0,0.41559
72,51,M,Ensino Medio,De favor,Pouco,Pouco,1164,8,0,0.41308
637,21,M,Graduacao,Propria,Pouco,Sem conta,15653,60,0,0.41308
261,55,H,Graduacao,Propria,Pouco,Pouco,1603,24,0,0.41267
617,37,M,Graduacao,Alugada,Pouco,Pouco,3676,6,0,0.41263
923,30,M,Graduacao,Alugada,Pouco,Moderado,2002,12,0,0.4109
537,37,H,Graduacao,Propria,Pouco,Moderado,3612,18,0,0.4109
783,23,H,Pos Graduacao,Propria,Moderado,Moderado,836,12,1,0.41036
481,26,M,Graduacao,Propria,Pouco,Moderado,1201,24,0,0.40988
312,26,H,Graduacao,Propria,Pouco,Alto,3749,24,0,0.40971
735,29,H,Ensino Medio,Propria,Sem investimento,Alto,3990,36,0,0.40805
790,39,H,Graduacao,Propria,Pouco,Moderado,1188,21,1,0.40688
188,20,M,Graduacao,Propria,Moderado,Pouco,674,12,1,0.4046
708,25,H,Graduacao,Propria,Pouco,Moderado,1206,9,0,0.40411
966,23,M,Pos Graduacao,Propria,Alto,Moderado,2520,27,1,0.4036
308,24,H,Graduacao,Propria,Pouco,Moderado,1237,8,1,0.40305
745,28,M,Pos Graduacao,Propria,Pouco,Pouco,1797,13,0,0.40293
230,26,M,Graduacao,Propria,Pouco,Alto,4210,36,1,0.40231
874,29,M,Pos Graduacao,Propria,Pouco,Pouco,3590,12,0,0.39982
83,58,H,Pos Graduacao,Propria,Pouco,Pouco,1755,24,0,0.39913
829,38,M,Graduacao,De favor,Sem investimento,Alto,6681,48,0,0.39837
510,26,M,Graduacao,Propria,Pouco,Pouco,759,12,1,0.39815
201,27,M,Pos Graduacao,Propria,Pouco,Pouco,1168,12,0,0.39814
260,27,M,Graduacao,Propria,Pouco,Pouco,1657,12,0,0.39723
730,33,M,Graduacao,Propria,Pouco,Moderado,6403,24,0,0.39722
620,27,M,Graduacao,Propria,Pouco,Moderado,3652,21,0,0.39597
167,20,H,Graduacao,Propria,Alto,Moderado,1577,11,0,0.39361
387,40,M,Ensino Medio,Propria,Pouco,Moderado,7374,18,0,0.3935
804,24,H,Ensino Medio,Alugada,Sem investimento,Alto,7472,12,0,0.39135
434,25,M,Graduacao,Propria,Pouco,Pouco,2136,9,0,0.39025
212,50,M,Graduacao,Propria,Pouco,Pouco,5293,27,1,0.38839
713,25,M,Pos Graduacao,Propria,Pouco,Pouco,1138,9,0,0.3883
89,28,M,Graduacao,Propria,Pouco,Pouco,1108,12,1,0.38818
192,36,M,Graduacao,Propria,Pouco,Moderado,3915,27,1,0.38694
495,20,M,Graduacao,Propria,Sem investimento,Pouco,2996,24,1,0.38566
515,37,H,Graduacao,Propria,Pouco,Pouco,609,6,0,0.38478
293,56,M,Graduacao,De favor,Pouco,Alto,4796,42,0,0.38446
